Index, Average Score
10,50.5869677878
20,37.3085790285
30,35.643590772
40,35.0527499656
50,33.1571425012
60,34.1107734172
70,32.825741915
80,36.1272550602
90,37.6869855964
100,41.0964040758
110,40.54449969
120,39.7843093164
130,39.3112695307
140,38.4723444182
150,37.7769492998
160,38.4656288686
170,39.4600408322
180,40.1318738203
190,39.1980497146
200,40.5146776698
210,40.9188332114
220,41.5558225625
230,41.2850222211
240,40.8376161678
250,41.1032621335
260,40.6205624162
270,41.4465111348
280,43.2430974623
290,44.9869972014
300,44.6716271992
310,44.1096631942
320,44.0252019748
330,42.944289384
340,42.0138175029
350,42.5865733673
360,43.3994916624
370,44.089685237
380,44.7675900845
390,45.4702772121
400,46.0714885798
410,46.2890818016
420,46.7632635095
430,46.9561836634
440,47.3763036984
450,47.6255037525
460,47.8197084159
470,48.1219165966
480,48.5003009279
490,48.8841862979
500,49.2548896687
510,49.599182199
520,49.9391352382
530,50.2709795115
540,50.5832599953
550,50.8887328521
560,51.0597815327
570,51.3162560915
580,51.5262190916
590,51.7441669593
600,51.9099065343
610,52.1153794837
620,52.3579080882
630,52.5941579998
640,52.8168882879
650,53.0447797448
660,53.2625763371
670,53.5353259033
680,53.7716849945
690,53.9747165772
700,53.943728911
710,53.4218106103
720,53.1006717133
730,53.4333989198
740,53.9246351631
750,54.4527903456
760,54.9456651762
770,55.3400671991
780,55.8345865934
790,56.3002126823
800,56.7571743095
810,57.2028529336
820,57.6376613473
830,58.0605581411
840,58.44196035
850,58.5926431694
860,58.6865271636
870,58.778252905
880,58.8431034644
890,58.8768713923
900,58.7732574153
910,59.1020320027
920,59.450818523
930,59.8059137424
940,60.0300983799
950,60.0027481251
960,60.107932
970,60.205808891
980,60.4247261422
990,60.2411293618
1000,60.3880230772
1010,60.7713951928
1020,61.1369234199
1030,61.5063462729
1040,61.8686711448
1050,62.2238936772
1060,62.5726036623
1070,62.9145122874
1080,63.2501088193
1090,63.5795419826
1100,63.9026401378
1110,64.2201052074
1120,64.5315981195
1130,64.7761166674
1140,65.0653198033
1150,65.34333987
1160,65.6342760165
1170,65.9203949855
1180,66.201887042
